dist, hand, time, fingPair, participant, group
0.35833,1,2,9,16,1
0.16704,1,2,10,16,1
0.42213,1,2,1,17,1
0.54173,1,2,2,17,1
0.5552,1,2,3,17,1
0.52454,1,2,4,17,1
0.21234,1,2,5,17,1
0.35143,1,2,6,17,1
0.35904,1,2,7,17,1
0.16639,1,2,8,17,1
0.33891,1,2,9,17,1
0.23212,1,2,10,17,1
0.32276,1,2,1,18,1
0.46454,1,2,2,18,1
0.55422,1,2,3,18,1
0.47003,1,2,4,18,1
0.3046,1,2,5,18,1
0.48226,1,2,6,18,1
0.4606,1,2,7,18,1
0.2384,1,2,8,18,1
0.27867,1,2,9,18,1
0.2047,1,2,10,18,1
0.73901,1,2,1,19,1
0.76478,1,2,2,19,1
0.84539,1,2,3,19,1
0.73541,1,2,4,19,1
0.50293,1,2,5,19,1
0.72212,1,2,6,19,1
0.69492,1,2,7,19,1
0.34265,1,2,8,19,1
0.48127,1,2,9,19,1
0.32355,1,2,10,19,1
0.45458,1,2,1,20,1
0.50499,1,2,2,20,1
0.57268,1,2,3,20,1
0.49037,1,2,4,20,1
0.29098,1,2,5,20,1
0.45562,1,2,6,20,1
0.51339,1,2,7,20,1
0.24305,1,2,8,20,1
0.33603,1,2,9,20,1
0.27351,1,2,10,20,1
0.32025,2,1,1,1,1
0.39602,2,1,2,1,1
0.49555,2,1,3,1,1
0.49072,2,1,4,1,1
0.16519,2,1,5,1,1
0.29788,2,1,6,1,1
0.33479,2,1,7,1,1
0.21393,2,1,8,1,1
0.35668,2,1,9,1,1
0.21051,2,1,10,1,1
0.47849,2,1,1,2,1
0.53597,2,1,2,2,1
0.64334,2,1,3,2,1
0.63141,2,1,4,2,1
0.28795,2,1,5,2,1
0.43688,2,1,6,2,1
0.47684,2,1,7,2,1
0.34607,2,1,8,2,1
0.46741,2,1,9,2,1
0.29027,2,1,10,2,1
0.26021,2,1,1,3,1
0.30177,2,1,2,3,1
0.30507,2,1,3,3,1
0.33007,2,1,4,3,1
0.1177,2,1,5,3,1
0.18727,2,1,6,3,1
0.23287,2,1,7,3,1
0.098079,2,1,8,3,1
0.20192,2,1,9,3,1
0.14279,2,1,10,3,1
0.63407,2,1,1,4,1
0.74693,2,1,2,4,1
0.77522,2,1,3,4,1
0.63804,2,1,4,4,1
0.3953,2,1,5,4,1
0.59938,2,1,6,4,1
0.59817,2,1,7,4,1
0.38448,2,1,8,4,1
0.44471,2,1,9,4,1
0.20358,2,1,10,4,1
0.58478,2,1,1,5,1
0.70123,2,1,2,5,1
0.82108,2,1,3,5,1
0.65753,2,1,4,5,1
0.31367,2,1,5,5,1
0.53858,2,1,6,5,1
0.47761,2,1,7,5,1
0.3603,2,1,8,5,1
0.37579,2,1,9,5,1
0.32129,2,1,10,5,1
0.35389,2,1,1,6,1
0.33,2,1,2,6,1
0.40977,2,1,3,6,1
0.32618,2,1,4,6,1
0.16726,2,1,5,6,1
0.33744,2,1,6,6,1
0.38118,2,1,7,6,1
0.19704,2,1,8,6,1
0.26835,2,1,9,6,1
0.23034,2,1,10,6,1
0.44608,2,1,1,7,1
0.49453,2,1,2,7,1
0.58233,2,1,3,7,1
0.57715,2,1,4,7,1
0.26113,2,1,5,7,1
0.38354,2,1,6,7,1
0.41142,2,1,7,7,1
0.27585,2,1,8,7,1
0.32476,2,1,9,7,1
0.14091,2,1,10,7,1
0.37516,2,1,1,8,1
0.48638,2,1,2,8,1
0.60286,2,1,3,8,1
0.52547,2,1,4,8,1
0.33796,2,1,5,8,1
0.52316,2,1,6,8,1
0.49356,2,1,7,8,1
0.36168,2,1,8,8,1
0.40581,2,1,9,8,1
0.2286,2,1,10,8,1
0.35276,2,1,1,9,1
0.48439,2,1,2,9,1
0.57603,2,1,3,9,1
0.49172,2,1,4,9,1
0.17655,2,1,5,9,1
0.32203,2,1,6,9,1
0.35749,2,1,7,9,1
0.14462,2,1,8,9,1
0.32285,2,1,9,9,1
0.22206,2,1,10,9,1
0.32194,2,1,1,10,1
0.39373,2,1,2,10,1
0.42979,2,1,3,10,1
0.37994,2,1,4,10,1
0.1769,2,1,5,10,1
0.25773,2,1,6,10,1
0.28691,2,1,7,10,1
0.16002,2,1,8,10,1
0.2633,2,1,9,10,1
0.087484,2,1,10,10,1
0.3105,2,1,1,11,1
0.35689,2,1,2,11,1
0.38063,2,1,3,11,1
0.35936,2,1,4,11,1
0.11964,2,1,5,11,1
0.32255,2,1,6,11,1
0.35811,2,1,7,11,1
0.18298,2,1,8,11,1
0.28785,2,1,9,11,1
0.18958,2,1,10,11,1
0.41534,2,1,1,12,1
0.58349,2,1,2,12,1
0.67089,2,1,3,12,1
0.54672,2,1,4,12,1
0.32772,2,1,5,12,1
0.5183,2,1,6,12,1
0.4847,2,1,7,12,1
0.24366,2,1,8,12,1
0.36839,2,1,9,12,1
0.26014,2,1,10,12,1
0.36235,2,1,1,13,1
0.52432,2,1,2,13,1
0.60302,2,1,3,13,1
0.5458,2,1,4,13,1
0.27008,2,1,5,13,1
0.4403,2,1,6,13,1
0.42905,2,1,7,13,1
0.2266,2,1,8,13,1
0.33236,2,1,9,13,1
0.22801,2,1,10,13,1
0.57159,2,1,1,14,1
0.65024,2,1,2,14,1
0.70492,2,1,3,14,1
0.71962,2,1,4,14,1
0.23387,2,1,5,14,1
0.4082,2,1,6,14,1
0.45885,2,1,7,14,1
0.26273,2,1,8,14,1
0.33987,2,1,9,14,1
0.186,2,1,10,14,1
0.30018,2,1,1,15,1
0.3768,2,1,2,15,1
0.512,2,1,3,15,1
0.49857,2,1,4,15,1
0.29406,2,1,5,15,1
0.47103,2,1,6,15,1
0.4778,2,1,7,15,1
0.34743,2,1,8,15,1
0.43078,2,1,9,15,1
0.20961,2,1,10,15,1
0.31898,2,1,1,16,1
0.34101,2,1,2,16,1
0.41975,2,1,3,16,1
0.35298,2,1,4,16,1
0.12025,2,1,5,16,1
0.25432,2,1,6,16,1
0.2724,2,1,7,16,1
0.11423,2,1,8,16,1
0.1679,2,1,9,16,1
0.22696,2,1,10,16,1
0.24472,2,1,1,17,1
0.35024,2,1,2,17,1
0.36553,2,1,3,17,1
0.35126,2,1,4,17,1
0.12333,2,1,5,17,1
0.19733,2,1,6,17,1
0.24185,2,1,7,17,1
0.10446,2,1,8,17,1
0.22429,2,1,9,17,1
0.17262,2,1,10,17,1
0.38983,2,1,1,18,1
0.43262,2,1,2,18,1
